CustomerID,SignupDate,Country,Age,MonthlySpend,Churned,WatchTimeHours
C1000,,Philippines,150,2139.17,0,-10.0
C1001,2023-03-16,Philippines,57,2726.3,1,9.06
C1002,2023-04-23,USA,49,1992.97,0,10.63
C1003,2023-04-14,USA,51,2361.13,0,11.15
C1004,2023-12-06,Philippines,45,2652.68,0,5.17
C1005,2023-09-11,Philippines,48,2453.4,0,5.73
,2023-08-15,USA,25,2228.78,1,10.23
C1007,,USA,56,3426.49,0,6.85
C1008,2023-04-09,UK,43,2993.58,0,14.54
C1009,2023-06-02,USA,51,,0,-10.0
,2023-12-15,Philippines,20,1272.25,0,19.33
C1011,2023-12-04,Philippines,-5,2510.9,0,14.1
C1012,2023-07-13,USA,29,2172.69,0,15.52
C1013,2023-11-06,Philippines,18,,1,10.66
C1014,2023-06-12,USA,61,2789.99,0,10.79
C1015,2023-07-27,,22,2611.36,0,18.66
C1016,2023-06-18,USA,47,2010.36,1,8.11
C1017,2023-06-10,Philippines,47,1299.44,0,12.73
C1018,2023-03-09,USA,34,1841.63,1,8.67
C1019,,Philippines,,2381.46,0,8.66
C1020,2023-10-04,USA,64,616.34,0,4.16
C1021,2023-10-31,,40,2993.37,0,6.29
C1022,2023-05-15,Philippines,32,3653.64,0,5.36
C1023,2023-07-14,,54,444.05,1,12.97
C1024,2023-05-08,,38,879.83,0,15.2
C1025,2023-02-02,Philippines,31,2183.73,0,9.53
C1026,2023-06-25,Philippines,19,1533.94,0,11.15
C1027,2023-01-22,Philippines,28,2208.73,0,9.24
C1028,2023-08-26,Philippines,56,1942.66,1,5.95
,2023-06-07,Philippines,55,1180.95,0,14.31
C1030,2023-02-07,USA,51,,0,13.26
C1031,2023-08-18,Philippines,55,2371.61,0,0.54
,2023-12-31,Philippines,-5,1552.21,0,8.58
C1033,2023-02-20,UK,51,3204.02,1,5.59
C1034,2023-09-21,Philippines,35,1593.28,0,8.05
C1035,2023-10-10,UK,47,1006.53,1,6.65
C1036,2023-01-27,Philippines,32,2146.81,0,9.77
,2023-08-14,Philippines,44,2282.53,0,8.35
C1038,2023-10-04,USA,51,2425.53,1,8.24
C1039,2023-10-13,USA,55,2557.08,0,15.54
C1040,2023-04-07,UK,50,2412.9,0,12.79
C1041,2023-10-11,UK,41,2380.39,1,6.48
,2023-11-13,UK,32,1541.0,0,7.22
