CustomerID,SignupDate,Country,Age,MonthlySpend,Churned,WatchTimeHours
C1000,,Philippines,42,2139.17,0,10.84
C1001,16/03/2023,Philippines,57,2726.3,1,9.06
C1002,23/04/2023,USA,49,1992.97,0,10.63
C1003,14/04/2023,USA,51,2361.13,0,11.15
C1004,06/12/2023,Philippines,45,2652.68,0,5.17
C1005,11/09/2023,Philippines,48,2453.4,0,5.73
C1007,,USA,56,3426.49,0,6.85
C1008,09/04/2023,UK,43,2993.58,0,14.54
C1009,02/06/2023,USA,51,2133.565,0,10.84
C1011,04/12/2023,Philippines,42,2510.9,0,14.1
C1012,13/07/2023,USA,29,2172.69,0,15.52
C1013,06/11/2023,Philippines,18,2133.565,1,10.66
C1014,12/06/2023,USA,61,2789.99,0,10.79
C1015,27/07/2023,Unknown,22,2611.36,0,18.66
C1016,18/06/2023,USA,47,2010.36,1,8.11
C1017,10/06/2023,Philippines,47,1299.44,0,12.73
C1018,09/03/2023,USA,34,1841.63,1,8.67
C1019,,Philippines,42,2381.46,0,8.66
C1020,04/10/2023,USA,64,616.34,0,4.16
C1021,31/10/2023,Unknown,40,2993.37,0,6.29
C1022,15/05/2023,Philippines,32,3653.64,0,5.36
C1023,14/07/2023,Unknown,54,444.05,1,12.97
C1024,08/05/2023,Unknown,38,879.83,0,15.2
C1025,02/02/2023,Philippines,31,2183.73,0,9.53
C1026,25/06/2023,Philippines,19,1533.94,0,11.15
C1027,22/01/2023,Philippines,28,2208.73,0,9.24
C1028,26/08/2023,Philippines,56,1942.66,1,5.95
C1030,07/02/2023,USA,51,2133.565,0,13.26
C1031,18/08/2023,Philippines,55,2371.61,0,0.54
C1033,20/02/2023,UK,51,3204.02,1,5.59
C1034,21/09/2023,Philippines,35,1593.28,0,8.05
C1035,10/10/2023,UK,47,1006.53,1,6.65
C1036,27/01/2023,Philippines,32,2146.81,0,9.77
C1038,04/10/2023,USA,51,2425.53,1,8.24
C1039,13/10/2023,USA,55,2557.08,0,15.54
C1040,07/04/2023,UK,50,2412.9,0,12.79
C1041,11/10/2023,UK,41,2380.39,1,6.48
C1043,31/10/2023,Philippines,47,1455.4,1,12.46
C1044,27/05/2023,Philippines,59,2593.89,0,12.45
C1045,04/01/2023,UK,34,2194.77,1,6.98
C1046,04/02/2023,UK,22,2133.565,1,8.83
C1047,11/07/2023,Unknown,46,634.18,0,19.23
C1048,18/02/2023,Philippines,21,1599.37,1,7.07
C1049,17/01/2023,Philippines,27,3525.62,0,19.55
C1050,21/06/2023,UK,34,2442.03,1,15.52
C1051,08/08/2023,Philippines,27,2236.44,0,18.63
C1052,07/06/2023,Unknown,34,2566.34,0,6.85
C1053,15/02/2023,UK,37,3766.76,0,9.16
C1054,06/01/2023,Philippines,41,3598.44,0,7.75
C1055,09/04/2023,UK,22,736.38,0,15.63
C1057,06/02/2023,Philippines,23,709.27,1,13.66
